WMC,class_BC,chemin,class,classe_LOC,classe_CLOC,classe_DC
29,0.03168685927306617,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\TickUnitSource.java,TickUnitSource ,74,68,0.918918918918919
65,0.014112203585887795,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\Timeline.java,Timeline ,133,122,0.9172932330827067
663,7.487009147817923E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\ValueAxis.java,ValueAxis extends Axis,1523,756,0.4963887065003283
33,0.019955654101995568,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\ValueTick.java,ValueTick extends Tick ,123,81,0.6585365853658537
182,0.0030618953695876775,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\AbstractBlock.java,AbstractBlock,585,326,0.5572649572649573
27,0.0332244008714597,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\Arrangement.java,Arrangement ,68,61,0.8970588235294118
29,0.030044383748719698,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\Block.java,Block extends Drawable ,101,88,0.8712871287128713
79,0.0066840175085768365,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\BlockBorder.java,BlockBorder,214,113,0.5280373831775701
81,0.006221444541654515,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\BlockContainer.java,BlockContainer extends AbstractBlock,254,128,0.5039370078740157
21,0.04047619047619048,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\BlockFrame.java,BlockFrame ,60,51,0.85
50,0.0152,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\BlockParams.java,BlockParams,125,95,0.76
21,0.037698412698412696,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\BlockResult.java,BlockResult,72,57,0.7916666666666666
183,0.0013901810443467753,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\BorderArrangement.java,BorderArrangement,511,130,0.25440313111545987
105,0.0051111111111111105,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\CenterArrangement.java,CenterArrangement,300,161,0.5366666666666666
47,0.012522796352583585,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\ColorBlock.java,ColorBlock extends AbstractBlock,175,103,0.5885714285714285
125,0.0033707865168539322,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\ColumnArrangement.java,ColumnArrangement,356,150,0.42134831460674155
36,0.01951951951951952,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\EmptyBlock.java,EmptyBlock extends AbstractBlock,111,78,0.7027027027027027
