WMC;class_BC;chemin;class;classe_LOC;classe_CLOC;classe_DC
28;0.032037815126050424;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\Arrangement.java;Arrangement ;68;61;0.8970588235294118
30;0.029042904290429043;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\Block.java;Block extends Drawable ;101;88;0.8712871287128713
69;0.0076527156982256535;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\BlockBorder.java;BlockBorder implements BlockFrame, Serializable ;214;113;0.5280373831775701
67;0.007521447878716653;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\BlockContainer.java;BlockContainer extends AbstractBlock;254;128;0.5039370078740157
22;0.038636363636363635;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\BlockFrame.java;BlockFrame ;60;51;0.85
44;0.017272727272727273;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\BlockParams.java;BlockParams implements EntityBlockParams ;125;95;0.76
19;0.041666666666666664;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\BlockResult.java;BlockResult implements EntityBlockResult ;72;57;0.7916666666666666
173;0.001470538330147167;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\BorderArrangement.java;BorderArrangement implements Arrangement, Serializable ;511;130;0.25440313111545987
93;0.0057706093189964155;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\CenterArrangement.java;CenterArrangement implements Arrangement, Serializable ;300;161;0.5366666666666666
39;0.01509157509157509;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\ColorBlock.java;ColorBlock extends AbstractBlock implements Block ;175;103;0.5885714285714285
115;0.0036638983878847092;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\ColumnArrangement.java;ColumnArrangement implements Arrangement, Serializable ;356;150;0.42134831460674155
32;0.02195945945945946;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\EmptyBlock.java;EmptyBlock extends AbstractBlock implements Block, Cloneable, ;111;78;0.7027027027027027
17;0.054466230936819175;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\EntityBlockParams.java;EntityBlockParams ;54;50;0.9259259259259259
14;0.0646900269541779;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\EntityBlockResult.java;EntityBlockResult ;53;48;0.9056603773584906
115;0.003766000211573046;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\FlowArrangement.java;FlowArrangement implements Arrangement, Serializable ;411;178;0.43309002433090027
130;0.003129713423831071;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\GridArrangement.java;GridArrangement implements Arrangement, Serializable ;408;166;0.4068627450980392
89;0.005984686244022648;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\LabelBlock.java;LabelBlock extends AbstractBlock;383;204;0.5326370757180157
14;0.06318681318681318;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\LengthConstraintType.java;;52;46;0.8846153846153846
64;0.007009345794392523;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\LineBorder.java;LineBorder implements BlockFrame, Serializable ;214;96;0.4485981308411215
2;0.375;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\package-info.java;;4;3;0.75
99;0.005397727272727273;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\RectangleConstraint.java;RectangleConstraint ;320;171;0.534375
38;0.01589544330625221;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\Size2D.java;Size2D implements Cloneable, PublicCloneable, Serializable ;149;90;0.6040268456375839
15;0.05128205128205129;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\date\MonthConstants.java;MonthConstants ;65;50;0.7692307692307693
1;0.75;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\date\package-info.java;;4;3;0.75
326;0.0017953385700361217;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\date\SerialDate.java;;856;501;0.5852803738317757
137;0.004145264485897089;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\date\SpreadsheetDate.java;SpreadsheetDate extends SerialDate ;405;230;0.5679012345679012
70;0.010032102728731942;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\encoders\EncoderUtil.java;EncoderUtil ;178;125;0.702247191011236
25;0.03452631578947368;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\encoders\ImageEncoder.java;ImageEncoder ;95;82;0.8631578947368421
